id,short_name,full_name,submission_date,notification_date,conference_date,location,ccf_rank,core_rank,qualis_rank,is_extended,updated_at,detail_page
408,AAAI,AAAI Conference on Artificial Intelligence,2026-07-21,2026-11-30,2027-02-16,"Montreal, Quebec, Canada",A,A*,A1,False,2026-07-14,https://www.myhuiban.com/conference/408
412,AAMAS,International Joint Conference on Autonomous Agents and Multi-agent Systems,,,2027-05-03,"Hanoi, Vietnam",B,A,A1,False,2026-07-06,https://www.myhuiban.com/conference/412
411,ACL,Annual Meeting of the Association for Computational Linguistics,,,2027-08-17,Japan,A,A*,A1,False,2026-07-05,https://www.myhuiban.com/conference/411
296,ACSAC,Annual Computer Security Applications Conference ,2026-05-26,2026-07-13,2026-12-07,"Los Angeles, California, USA",B,A,A1,False,2026-05-15,https://www.myhuiban.com/conference/296
168,ASE,International Conference on Automated Software Engineering,2026-03-26,2026-05-25,2026-10-12,"Munich, Germany",A,A*,A1,False,2026-03-01,https://www.myhuiban.com/conference/168
299,ASIACRYPT,International Conference on the Theory and Application of Cryptology and Information Security,2026-05-22,2026-08-14,2026-12-07,"Hong Kong, China",B,A,A1,False,2026-04-29,https://www.myhuiban.com/conference/299
322,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,2026-09-09,2026-12-21,2027-04-11,"Heraklion, Crete, Greece",A,A*,A1,False,2026-07-06,https://www.myhuiban.com/conference/322
243,CAV,International Conference on Computer Aided Verification,2026-01-28,2026-04-17,2026-07-26,"Lisbon, Portugal",A,A*,A1,False,2026-03-02,https://www.myhuiban.com/conference/243
342,CCGRID,"International Symposium on Cluster, Cloud and Grid Computing",2026-12-08,2027-02-10,2027-05-17,"Dallas-Fort Worth, Texas, USA",C,B,A1,False,2026-07-07,https://www.myhuiban.com/conference/342
290,CCS,ACM Conference on Computer and Communications Security,2026-04-22,2026-07-17,2026-11-15,"The Hague, The Netherlands",A,A*,A1,False,2025-12-18,https://www.myhuiban.com/conference/290
560,CHES,"International Conference on Cryptographic Hardware and Embedded Systems
",2026-04-15,2026-06-15,2026-10-11,Turkiye,B,A,A1,False,2025-09-13,https://www.myhuiban.com/conference/560
961,CHI,ACM Conference on Human Factors in Computing Systems,2026-09-10,2026-12-17,2027-05-10,"Pittsburgh, Pennsylvania, USA",A,A*,A1,False,2026-07-04,https://www.myhuiban.com/conference/961
143,CIKM,ACM International Conference on Information and Knowledge Management,2026-05-16,2026-08-07,2026-11-07,"Rome, Italy",B,A,A1,False,2026-03-31,https://www.myhuiban.com/conference/143
170,COLING,International Conference on Computational Linguistics,2026-10-12,2027-02-10,2027-05-09,"Macau, China",B,B,A1,False,2026-08-07,https://www.myhuiban.com/conference/170
291,CRYPTO,International Cryptology Conference,2026-02-12,,2026-08-17,"Santa Barbara, California, USA",A,A*,A1,False,2025-11-28,https://www.myhuiban.com/conference/291
937,CSCW,ACM Conference on Computer-Supported Cooperative Work and Social Computing,2026-01-13,,2026-10-18,USA,A,A,A1,False,2026-01-03,https://www.myhuiban.com/conference/937
407,CVPR,IEEE Conference on Computer Vision and Pattern Recognition,2025-11-06,2026-02-20,2026-06-03,"Denver, Colorado, USA",A,A*,A1,False,2025-09-25,https://www.myhuiban.com/conference/407
549,DAC,Design Automation Conference,2025-11-11,2026-03-09,2026-07-26,"Long Beach, California, USA",,A*,A1,False,2025-10-23,https://www.myhuiban.com/conference/549
216,DATE,"Design, Automation and Test in Europe",2026-09-07,2026-11-10,2027-03-22,"Dresden, Germany",B,A,A1,False,2026-07-05,https://www.myhuiban.com/conference/216
187,DSN,International Conference on Dependable Systems and Networks,2026-11-25,2027-03-18,2027-06-22,"Berlin, Germany",B,A,A1,False,2026-07-04,https://www.myhuiban.com/conference/187
470,EC,ACM Conference on Economics and Computation,2026-02-02,2026-05-18,2026-07-06,"Rome, Italy",,A*,A1,False,2026-03-02,https://www.myhuiban.com/conference/470
413,ECCV,European Conference on Computer Vision,2026-03-06,2026-05-09,2026-09-08,"Malmo, Sweden",B,A*,A1,False,2026-07-29,https://www.myhuiban.com/conference/413
169,ECOOP,European Conference on Object-Oriented Programming,2027-02-11,2027-04-08,2027-06-28,"Turin, Italy",B,A,A1,False,2026-07-04,https://www.myhuiban.com/conference/169
424,EMNLP,Conference on Empirical Methods in Natural Language Processing,2026-05-27,2026-08-20,2026-10-24,"Budapest, Hungary",B,A*,A1,False,2026-03-05,https://www.myhuiban.com/conference/424
542,ESWC,Extended Semantic Web Conference,2024-12-12,2025-02-20,2025-06-01,"Portoroz, Slovenia",C,B,A1,False,2024-11-28,https://www.myhuiban.com/conference/542
294,Eurocrypt,International Conference on the Theory and Applications of Cryptographic Techniques,2026-09-17,2027-01-18,2027-04-11,"Eindhoven, the Netherlands",A,A*,A1,False,2026-07-04,https://www.myhuiban.com/conference/294
323,FAST,USENIX Conference on File and Storage Technologies,2026-09-15,2026-12-08,2027-02-23,"Renton, Washington, USA",A,A,A1,False,2026-03-01,https://www.myhuiban.com/conference/323
515,FG,International Conference on Automatic Face and Gesture Recognition,2026-01-09,2026-04-02,2026-05-25,"Kyoto, Japan",C,B,A1,False,2025-09-13,https://www.myhuiban.com/conference/515
